"sep=;"
"ordinal_id";"github_repo_id";"repo_full_name";"repo_html_url";"repo_forks_count";"repo_stargazers_count";"repo_created_at";"repo_is_fork";"repo_has_issues";"repo_open_issues_count";"repo_has_wiki";"repo_network_count";"repo_pushed_at";"repo_size";"repo_updated_at";"wrepo_atchers_count";"project_id";"project_name";"project_url";"project_htmlurl";"project_created_at";"project_updated_at";"project_homepage_url";"project_average_rating";"project_rating_count";"project_review_count";"project_activity_level";"project_user_count";"twelve_month_contributor_count";"total_contributor_count";"twelve_month_commit_count";"total_commit_count";"total_code_lines";"main_language_name";"developer_works_during_bd";"developer_works_period";"developer_all_pushes";"developer_all_stars_given";"developer_all_creations";"developer_all_issues_created";"developer_all_pull_requests"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13352";"33736";"35";"2010-01-06 00:34:37";"False";"True";"1145";"True";"13352";"2015-01-06 02:57:49";"204488";"2015-01-06 02:50:48";"33736";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-06T00:52:54Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"638";"1242";"2272";"6317";"266132";"JavaScript";"True";"3641";"4011";"0";"0";"0";"185"
"22";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2650";"12273";"9";"2011-05-25 23:39:40";"False";"True";"221";"False";"2650";"2015-01-06 02:46:44";"64693";"2015-01-06 02:44:24";"12273";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2015-01-05T19:24:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"15";"218";"499";"2393";"7708";"64298";"JavaScript";"False";"62";"94";"0";"53";"11";"44"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13352";"33736";"35";"2010-01-06 00:34:37";"False";"True";"1145";"True";"13352";"2015-01-06 02:57:49";"204488";"2015-01-06 02:50:48";"33736";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-06T00:52:54Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"638";"1242";"2272";"6317";"266132";"JavaScript";"True";"93";"125";"0";"24";"5";"0"
"22";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2650";"12273";"9";"2011-05-25 23:39:40";"False";"True";"221";"False";"2650";"2015-01-06 02:46:44";"64693";"2015-01-06 02:44:24";"12273";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2015-01-05T19:24:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"15";"218";"499";"2393";"7708";"64298";"JavaScript";"False";"8";"5";"3";"1";"0";"0"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13352";"33736";"35";"2010-01-06 00:34:37";"False";"True";"1145";"True";"13352";"2015-01-06 02:57:49";"204488";"2015-01-06 02:50:48";"33736";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-06T00:52:54Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"638";"1242";"2272";"6317";"266132";"JavaScript";"True";"2970";"2507";"0";"757";"44";"43"
"22";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2650";"12273";"9";"2011-05-25 23:39:40";"False";"True";"221";"False";"2650";"2015-01-06 02:46:44";"64693";"2015-01-06 02:44:24";"12273";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2015-01-05T19:24:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"15";"218";"499";"2393";"7708";"64298";"JavaScript";"None";"0";"0";"0";"0";"0";"0"
"33";"meteor/meteor";"meteor/meteor";"https://github.com/meteor/meteor";"2397";"21681";"1";"2012-01-19 01:58:17";"False";"True";"379";"True";"2397";"2015-01-06 01:56:05";"136788";"2015-01-06 02:58:15";"21681";"602661";"Meteor-js";"https://www.openhub.net/p/meteor-js.xml";"https://www.openhub.net/p/meteor-js";"2012-06-16T21:44:53Z";"2015-01-02T01:35:40Z";"http://meteor.com";"5.0";"2";"1";"70";"12";"97";"183";"6280";"12397";"156480";"JavaScript";"False";"28";"0";"0";"0";"0";"4"
"1";"angular/angular.js";"angular/angular.js";"https://github.com/angular/angular.js";"13352";"33736";"35";"2010-01-06 00:34:37";"False";"True";"1145";"True";"13352";"2015-01-06 02:57:49";"204488";"2015-01-06 02:50:48";"33736";"498361";"AngularJS";"https://www.openhub.net/p/angularjs.xml";"https://www.openhub.net/p/angularjs";"2011-04-20T04:03:36Z";"2015-01-06T00:52:54Z";"http://angularjs.org/";"5.0";"8";"0";"70";"104";"638";"1242";"2272";"6317";"266132";"JavaScript";"True";"1304";"1641";"0";"0";"0";"436"
"22";"emberjs/ember.js";"emberjs/ember.js";"https://github.com/emberjs/ember.js";"2650";"12273";"9";"2011-05-25 23:39:40";"False";"True";"221";"False";"2650";"2015-01-06 02:46:44";"64693";"2015-01-06 02:44:24";"12273";"598352";"Ember.js";"https://www.openhub.net/p/emberjs.xml";"https://www.openhub.net/p/emberjs";"2012-05-24T04:13:10Z";"2015-01-05T19:24:45Z";"http://emberjs.com/";"5.0";"2";"0";"0";"15";"218";"499";"2393";"7708";"64298";"JavaScript";"True";"638";"261";"0";"61";"160";"98"
"45";"eventmachine/eventmachine";"eventmachine/eventmachine";"https://github.com/eventmachine/eventmachine";"442";"2807";"7";"2008-08-17 18:35:57";"False";"True";"258";"True";"442";"2014-12-25 00:47:29";"5111";"2015-01-05 13:53:23";"2807";"11154";"Ruby/EventMachine";"https://www.openhub.net/p/eventmachine.xml";"https://www.openhub.net/p/eventmachine";"2008-01-21T05:56:09Z";"2014-11-17T18:50:42Z";"http://rubyeventmachine.com/";"5.0";"4";"0";"0";"10";"5";"95";"17";"820";"14711";"Ruby";"False";"336";"775";"0";"13";"5";"41"
