"sep=;"
"ordinal_id";"github_repo_id";"repo_full_name";"repo_html_url";"repo_forks_count";"stargazers_count";"contributors_count";"repo_created_at";"repo_is_fork";"repo_has_issues";"repo_open_issues_count";"repo_has_wiki";"repo_network_count";"repo_pushed_at";"repo_size";"repo_updated_at";"repo_watchers_count";"project_id";"project_name";"project_url";"project_htmlurl";"project_created_at";"project_updated_at";"project_homepage_url";"project_average_rating";"project_rating_count";"project_review_count";"project_activity_level";"project_user_count";"twelve_month_contributor_count";"total_contributor_count";"twelve_month_commit_count";"total_commit_count";"total_code_lines";"main_language_name";"developer_works_during_bd";"developer_works_period";"developer_all_pushes";"developer_all_stars_given";"developer_all_creations";"developer_all_issues_created";"developer_all_pull_requests"
"2";"mitchellh/vagrant";"mitchellh/vagrant";"https://github.com/mitchellh/vagrant";"1865";"8426";"9";"2010-01-21 08:34:27";"False";"True";"308";"True";"1865";"2015-01-16 20:58:07";"38874";"2015-01-20 01:10:19";"8426";"481939";"Vagrant";"https://www.openhub.net/p/vagrantup.xml";"https://www.openhub.net/p/vagrantup";"2010-03-20T03:34:32Z";"2015-01-19T06:02:14Z";"http://vagrantup.com/";"5.0";"8";"0";"0";"62";"248";"529";"2629";"6750";"56234";"Ruby";"True";"288";"58";"0";"230";"150";"38"
"2";"mitchellh/vagrant";"mitchellh/vagrant";"https://github.com/mitchellh/vagrant";"1865";"8426";"9";"2010-01-21 08:34:27";"False";"True";"308";"True";"1865";"2015-01-16 20:58:07";"38874";"2015-01-20 01:10:19";"8426";"481939";"Vagrant";"https://www.openhub.net/p/vagrantup.xml";"https://www.openhub.net/p/vagrantup";"2010-03-20T03:34:32Z";"2015-01-19T06:02:14Z";"http://vagrantup.com/";"5.0";"8";"0";"0";"62";"248";"529";"2629";"6750";"56234";"Ruby";"True";"565";"984";"32";"0";"24";"208"
"55";"flyingsaucerproject/flyingsaucer";"flyingsaucerproject/flyingsaucer";"https://github.com/flyingsaucerproject/flyingsaucer";"171";"441";"1";"2010-04-19 23:26:11";"False";"False";"14";"True";"171";"2014-12-14 10:05:19";"64090";"2015-01-18 07:04:25";"441";"659";"Flying Saucer";"https://www.openhub.net/p/xhtmlrenderer.xml";"https://www.openhub.net/p/xhtmlrenderer";"2006-10-11T03:18:20Z";"2014-12-30T16:44:36Z";"http://code.google.com/p/flying-saucer/";"5.0";"4";"0";"50";"8";"14";"41";"59";"2543";"113135";"Java";"False";"16";"8";"0";"6";"0";"4"
"2";"mitchellh/vagrant";"mitchellh/vagrant";"https://github.com/mitchellh/vagrant";"1865";"8426";"9";"2010-01-21 08:34:27";"False";"True";"308";"True";"1865";"2015-01-16 20:58:07";"38874";"2015-01-20 01:10:19";"8426";"481939";"Vagrant";"https://www.openhub.net/p/vagrantup.xml";"https://www.openhub.net/p/vagrantup";"2010-03-20T03:34:32Z";"2015-01-19T06:02:14Z";"http://vagrantup.com/";"5.0";"8";"0";"0";"62";"248";"529";"2629";"6750";"56234";"Ruby";"False";"164";"108";"100";"46";"0";"41"
"2";"mitchellh/vagrant";"mitchellh/vagrant";"https://github.com/mitchellh/vagrant";"1865";"8426";"9";"2010-01-21 08:34:27";"False";"True";"308";"True";"1865";"2015-01-16 20:58:07";"38874";"2015-01-20 01:10:19";"8426";"481939";"Vagrant";"https://www.openhub.net/p/vagrantup.xml";"https://www.openhub.net/p/vagrantup";"2010-03-20T03:34:32Z";"2015-01-19T06:02:14Z";"http://vagrantup.com/";"5.0";"8";"0";"0";"62";"248";"529";"2629";"6750";"56234";"Ruby";"True";"10125";"5658";"0";"76";"3610";"1719"
"12";"OpenNMS/debian-jrrd";"OpenNMS/debian-jrrd";"https://github.com/OpenNMS/debian-jrrd";"0";"0";"26";"2013-04-11 16:16:24";"False";"False";"0";"False";"0";"2014-06-24 14:43:10";"128";"2014-09-17 16:07:47";"0";"4501";"OpenNMS";"https://www.openhub.net/p/OpenNMS.xml";"https://www.openhub.net/p/OpenNMS";"2007-02-20T18:55:47Z";"2015-01-14T18:35:29Z";"http://www.opennms.org";"5.0";"4";"0";"70";"18";"32";"108";"2519";"32768";"3867375";"Java";"True";"96";"101";"90";"14";"0";"0"
"25";"ndmitchell/hoogle";"ndmitchell/hoogle";"https://github.com/ndmitchell/hoogle";"35";"104";"1";"2012-04-19 13:23:16";"False";"True";"36";"False";"35";"2015-01-19 16:03:04";"5724";"2015-01-19 16:03:05";"104";"11924";"hoogle";"https://www.openhub.net/p/hoogle.xml";"https://www.openhub.net/p/hoogle";"2008-02-20T02:06:31Z";"2015-01-03T00:58:50Z";"http://www.haskell.org/hoogle/";"5.0";"4";"0";"40";"13";"7";"24";"143";"2550";"6234";"Haskell";"False";"1390";"1718";"0";"87";"223";"65"
"67";"feincms/feincms";"feincms/feincms";"https://github.com/feincms/feincms";"207";"588";"7";"2009-01-27 20:34:16";"False";"True";"30";"True";"207";"2015-01-08 13:15:50";"12176";"2015-01-17 08:40:35";"588";"316037";"FeinCMS";"https://www.openhub.net/p/feincms.xml";"https://www.openhub.net/p/feincms";"2009-02-16T20:52:47Z";"2014-12-15T17:35:07Z";"http://www.feinheit.ch/";"5.0";"1";"0";"50";"8";"17";"108";"151";"3416";"11748";"Python";"True";"570";"597";"0";"54";"64";"35"
"2";"mitchellh/vagrant";"mitchellh/vagrant";"https://github.com/mitchellh/vagrant";"1865";"8426";"9";"2010-01-21 08:34:27";"False";"True";"308";"True";"1865";"2015-01-16 20:58:07";"38874";"2015-01-20 01:10:19";"8426";"481939";"Vagrant";"https://www.openhub.net/p/vagrantup.xml";"https://www.openhub.net/p/vagrantup";"2010-03-20T03:34:32Z";"2015-01-19T06:02:14Z";"http://vagrantup.com/";"5.0";"8";"0";"0";"62";"248";"529";"2629";"6750";"56234";"Ruby";"True";"28";"92";"0";"16";"2";"0"
"12";"OpenNMS/debian-jrrd";"OpenNMS/debian-jrrd";"https://github.com/OpenNMS/debian-jrrd";"0";"0";"26";"2013-04-11 16:16:24";"False";"False";"0";"False";"0";"2014-06-24 14:43:10";"128";"2014-09-17 16:07:47";"0";"4501";"OpenNMS";"https://www.openhub.net/p/OpenNMS.xml";"https://www.openhub.net/p/OpenNMS";"2007-02-20T18:55:47Z";"2015-01-14T18:35:29Z";"http://www.opennms.org";"5.0";"4";"0";"70";"18";"32";"108";"2519";"32768";"3867375";"Java";"True";"260";"721";"0";"7";"0";"0"
